gene_name,p-value_Neo_IP,fold_change_Neo_IP,p-value_Van_IP,fold_change_Van_IP
1810010H24Rik,0.0060400089843029,-0.3959520844396896,0.0303060736018599,-0.203121835985335
2310057M21Rik,0.011167406033527,0.4847026746781159,0.0027668264708631,1.4549315365290505
4931429L15Rik,0.0297030164404565,1.3457084012973464,0.0488470320288666,1.2270227523646289
6330549D23Rik,0.0161916308454649,0.5424278980918655,0.0005118317383467,0.8203771679321046
A930007A09Rik,0.013519465201489,0.7614605165213328,0.0197840120547414,1.0237081254212563
Aar2,0.0085041187639981,0.2784133806040771,0.0307765829561509,0.205670411466736
Aars,0.0007702981105879,1.0072129126824667,0.0030126989233902,1.4919130062940538
Abhd11os,0.0463973933559499,-0.3281077878822824,0.0286163461608479,-1.5412269067093696
Abhd16a,0.0370607600501855,0.2266359648684878,0.0365712804447617,0.2992977805770637
Abhd4,0.0396121063128641,0.3726291612581855,0.013347026648655,0.5692270526826975
Acaca,0.0419714129374809,0.3570944240368401,0.0072442464255941,0.810430910987107
Actr1a,0.0022698139831496,0.3798816396897372,0.0015650349778832,0.4730589364339094
Add1,0.0052791790018603,0.3900891826279062,0.0160196732786692,0.3876097589313137
Adnp2,0.0204698095371967,0.4573744552223948,0.0232895640667503,0.6242925148071786
Adtrp,0.0309594564984878,-1.0327038492392773,0.0350481707058992,-2.2700524589226587
Aff1,0.0373661058612387,0.2510592718917811,0.0018998557990801,0.477099885927823
Afg3l1,0.0052905237049748,0.3255200892440943,0.0052744243512177,0.4085649034265471
Afm,0.0351549458679284,-1.0506645908657617,0.0150550469257509,-2.0472974364782344
Agfg2,0.0032513841034364,0.4891158652525789,0.0107460326485169,0.5945379123733734
Agpat3,0.0166666214207137,0.363671584788495,0.0018425200543645,0.7658536204587594
Ahsa1,0.0166701255476285,0.369840422226596,0.0025658119861175,0.9438303880305676
Akt1,0.0480426697186298,0.1728032407635601,0.0256167374527051,0.7197860997949783
Aldh1l2,0.0420203819740487,0.6833919081195572,0.0290519864219188,0.7708790068938095
Alg3,0.013921448289486,0.3018682046518728,0.0068784706298887,0.3491141772667745
Alkbh5,0.0067248431850553,0.247127875524613,0.0400290302761654,0.1455939931698101
Alkbh8,0.0197747456787624,0.4924845740166093,0.0488080936965098,0.7837850724304829
Amfr,0.0412141161978539,0.706164364801549,0.0173719819801429,0.9327202475051022
Ankle2,0.0215178740211055,0.4650019664395602,0.011774998902562,0.8903264504032566
Ap1ar,0.0015117657885779,0.8636268457391502,0.0154888516598991,0.5922510047126988
Ap2b1,0.0003767334604191,0.4994015810233337,0.0008538965971619,0.46767778515927
Arf3,0.001268188086825,0.4616910673657446,0.0026267029018225,0.2688795825803309
Arfgap2,0.0323366285760335,0.3692408765479987,0.0031452732973816,0.8300026037290706
Arfgap3,0.0226383116349806,-0.2171080029444706,0.0102705607096721,-1.1093980326355506
Arhgef11,0.0294086457810594,0.4469612283312656,0.032895255177298,0.446804157200502
Arhgef7,0.0306189733252673,0.5832985666978868,0.0238941459112527,1.5544441040244814
Arl2bp,0.0185114523333213,0.9019916560822188,0.0005883337082836,1.3128420747165477
Armc8,0.0107218853982747,0.2117498977657763,0.0227097750280343,0.2625664189410604
Armh3,0.0347331871038437,0.1612024802853006,0.0299828162963483,0.3989415408516725
Arnt,0.0394810959344489,0.236289125316508,0.0164499819755449,0.5495701473930046
Arntl,0.0168580659146055,1.2448659346994613,0.0412146840375566,0.7987637152146745
Arrb1,0.0251762443310566,0.6631784510931831,0.0035205991886418,1.0774648398312034
Arsb,0.0073992828663369,0.6675145947194061,0.0079825013871506,0.5921427480847798
Atf1,0.0055704945637409,0.5163009344938936,0.006650122484279,0.7695815451598397
Atg13,0.001686408049021,0.4291979164285495,0.0002655950241268,0.7356438346868782
Atg4b,0.0015820529610424,0.7462943177476309,2.646054297668953e-05,0.9500999529522548
Atp13a4,0.0464264312184124,-2.537188502333312,0.049306310080916,-2.535929165888986
Atp6ap1,0.0070479283963141,0.7404429197937981,0.006892742613003,0.9487510060422653
Atp6v1a,0.0399420579943881,0.4865146471171637,0.0239075870324862,0.6633705473703767
Atp7a,0.0499200382208443,0.9257211778687346,0.0499290150003619,1.2263526111966054
Atxn1l,0.0020328882169721,0.8110848305984668,0.0135566114566116,0.8288009552748109
Atxn7l3,0.0321231625720699,0.2971715003045587,0.0355366318092447,0.3256222778778948
B3galt1,0.0387917205610281,0.89090294037413,0.0217480824178016,2.563166689249224
Babam1,0.0306521528190446,0.3829526152522238,0.0064341552353077,0.3953563477333912
Bap1,0.0012388263896873,0.2583280957689062,0.016458533995682,0.5266377882829231
Bbx,0.0249568024624226,0.8111564496020359,0.0072716675287196,1.0135569747390338
Bcas3,0.0127397841337069,0.4243470222819941,0.0459519185450304,0.5818732788869649
Bcl2l13,0.0398072179368241,0.3662925752943614,0.0002975977250625,0.9235882490212196
Bet1l,0.0152063253336723,0.3781598870087189,0.0019669098854453,0.5934052370319606
Bloc1s5,0.0454166345286509,0.5007389109607178,0.0079758476227432,1.3311330867736495
Bok,0.0329618969190927,0.4278886524697408,0.0063591548282482,0.7983180241127715
Bsdc1,0.0021764278195229,1.2295841077115934,0.0050979144754868,1.316889160506162
Cab39l,0.0337956123709108,0.5714746778024828,0.0096763661667285,0.896145578147755
Cacul1,0.0093545624495465,0.1499587947344202,0.000988838135077,0.3484697635621166
Calr,0.0022046900914578,0.6143172533306653,0.0468633503284891,0.5128787433836256
Calu,0.0395865957236722,0.4577244362697459,0.0045025979740501,1.512242508627215
Cap1,0.002452914351865,0.4140675304579971,0.0080649753634912,0.6651763259425184
Capns1,0.0208262946764348,0.3335239726512777,0.0109266271268043,0.5569894063053079
Casc3,0.0226494012125172,0.2735493395470803,0.0072858741504053,0.379480347030336
Cbfa2t2,0.0059387195104183,0.4696208093850236,0.0016916382335201,0.6541383330475529
Cbx5,0.0322586589564622,0.3638119769223416,0.011610446016925,1.032927948155307
Ccdc68,0.0459764476674748,-0.287254162554338,0.002756874401231,-1.412761398816125
Ccdc71,0.0149349739738697,0.5918238759869358,0.0168204179288353,0.7689375586876889
Ccdc85c,0.0008751758378037,0.6187882985100165,0.0022171163190717,0.6783926628166146
Ccnd1,0.0054212631152992,0.6674865894930628,0.0191793246311131,1.133914765901675
Ccnk,0.0155082688709414,0.354840718614922,0.0121684661757764,0.2588395803784074
Ccny,0.0012382698463654,0.4418068170099871,0.0001286460547499,0.7590840859578006
Cdadc1,0.0269503275351517,0.515350363733323,0.0024521446864235,1.448692294499239
Cdc37,0.0147729814549865,0.3060878521182731,0.0179418230922089,0.5784770620471802
Cdc42,0.027095095699949,0.2544723462708657,0.0084564359446943,0.2533187862882912
Cdk16,0.0034579189940513,0.409752458150856,0.0279856366125897,0.4356886289287953
Cds2,0.0244539365050451,0.6750077963944905,0.0018329070559772,2.101750158751466
Cenpb,0.0037390017139111,0.5717098767965105,0.004938632623724,0.7151422086432465
Cep170b,0.0333647861093048,0.5069641112032836,0.0280364046330976,0.5791836774456265
Ces1c,0.0317614486227709,-1.9902693036189292,0.0291132851232452,-2.5334721409687977
Chchd2-ps,0.0252196013649637,-2.177024670382167,0.0438988001103447,-2.195930552479248
Chd1l,0.0192873066555272,-0.4581237396770334,0.0036285263638305,-0.7198874939643586
Chtf8,0.0104180524622477,1.4948696140624889,0.0030984388973506,1.8826929652244515
Ciart,0.0343258717358842,-1.4167184145427305,0.0115940448084092,-3.2212616343726737
Clec16a,0.0029226868927894,0.3919537547907759,0.025139682280894,0.4613077156470396
Clip1,0.0266493833798539,0.4848706531483804,0.0124577757887503,1.0441085085140942
Clstn1,0.0225009120839222,0.5337498638011284,0.0013487339913788,0.6382273474770014
Cnksr3,0.0189365122457351,0.6443393966507547,0.0375864774899142,0.6200005552436071
Copg2,0.0169389910305791,0.8860795558591329,0.0343948418715044,0.8031863250109035
Cops8,0.0138788515597856,0.5511381767844756,0.0256292902452072,1.106532008673147
Coro1c,0.0046087270966577,1.1012730548329557,0.0180946993763986,1.9822508454163863
Cox7c-ps1,0.0058774096868059,-0.7146228363313784,0.0164375450432794,-1.4237406840289888
Crcp,0.0321939316264424,0.2551488152624913,0.0067579105089124,0.3636784707701789
Crim1,0.0069520405001168,0.6846996112972744,0.0259092441880453,1.1753645409209403
Crkl,0.0182280069818495,0.1899502635766647,0.0367053874640847,0.2547883401083464
Csnk1g2,0.0127501397871811,0.3738127671708633,0.0031180192575581,0.3106878536954097
Ctdsp2,0.0221588794133773,0.3708189987133066,0.0012434293249702,0.4562849264129642
Ctr9,0.0215060964682526,0.4274741121863441,0.0374030270504547,0.3811006686094798
Ctsb,0.001565760041398,0.6879161977032894,0.0029172491717028,0.7397813884349361
Cul3,0.025019661053061,-0.4936183479650196,0.0261804194104667,-0.4659297499194707
Cyhr1,0.0005963570350918,0.4567161461105585,0.0011123987125537,0.4507439284555047
Cyth2,0.0080113980698442,-0.2089944649314052,0.0090540086238273,-0.5616562974782418
D17H6S53E,0.0030275062586101,0.694523129677271,0.0003694960249579,0.6477399473770362
Dab2ip,0.0154560256148355,0.2558003156872692,0.0107993766096908,0.6878359377452816
Dag1,0.0052764783506024,0.6429290640430305,0.0053156239173139,0.6727138573753395
Dbp,0.0106231370794205,-1.5577583798555603,0.0046080339185553,-2.601369708410518
Dcaf10,0.0084817623389032,0.2432526878125696,0.0287641369943141,0.2956041166961944
Dcaf7,0.0298768284272374,0.2536449748675881,0.024681378418404,0.517547495358214
Dcaf8,0.0282486450785748,0.3126538305182638,0.006775111671012,0.8635847671502609
Dctn1,0.0155333797334478,0.5661810996400733,0.0333912530953589,0.8415277393124134
Ddb1,0.021983890431792,0.5083207176457274,0.0095770163140986,1.1699391243977493
Ddr1,0.0216406100834072,0.2645170998538697,0.0086398925690794,0.2680029147521837
Ddx49,0.0022781831449641,0.4173322969276248,0.0152330706407327,0.3340322228280789
Dennd10,0.0170266511619652,0.6859977218982538,0.0316000964709559,1.0053527840656988
Dennd1a,0.0114615377580269,0.4867279854955473,0.0050287643809392,1.1271408953615265
Dennd2b,0.0003807722330385,0.9709840724976232,0.0246521680328586,0.7071601009102967
Dhdds,0.0430337434081661,0.3693238380385735,0.0074943697106532,0.8335655230854183
Dipk1a,0.0124543621636519,0.5657452275985799,0.0214854505078572,1.1991013808781836
Dll4,0.0329566731142346,-0.7968428902200131,0.0047695787939954,-1.0118765631334232
Dnajb6,0.0362039045596525,0.613704289551253,0.0187496011085248,1.0714474785801416
Dnajc17,0.0185273199682594,0.415782756687971,0.01288597599373,0.5191644668443828
Dnajc8,0.0226929130424107,0.2766399042352239,0.0040185517889841,0.6694690222854687
Dpf2,0.005070136473293,0.6000234672153961,0.005793612671994,1.0322757928929835
Drg1,0.0200327867236337,0.4557043864708687,0.0228280716790489,0.5149720903444973
Dync1h1,0.0411181176562476,0.3085773989506296,0.0461816793785046,0.5353004834295798
Dync1li2,0.0080534704543458,1.233632641135453,0.0185409823179222,2.035381091535462
Ece1,0.0462524484784338,0.952576549625973,0.00530344561647,2.0446300636945702
Egfr,0.0436185775954824,0.3536521947242172,0.0384008849856602,0.8408394219266152
Ehd4,0.0014188963817641,0.5706336100388315,0.0162795826660316,1.2094460264636275
Ehmt2,0.0466502149990119,-0.2577534858605609,0.0172312039603,-0.2749749131722195
Ei24,0.0061438649904162,0.5420362741172252,0.0183184328291465,0.3819895328618695
Eif3b,0.0062647317591243,0.3165415450974436,0.0125081440774124,0.3184118201800848
Eif4a-ps4,0.04406779173575,0.9482972520986938,0.001890177326056,1.15724399835131
Eif4g1,0.0203650562406027,0.3729315578384548,0.0008577921735096,0.6837911935199831
Emc10,0.0134509839333724,0.7359220164375646,0.0007101086014403,1.3710499529644091
Eno1,0.0108144085054222,0.4542435903335434,0.0179691527007629,0.4698031012563324
Enpp4,0.020431509727231,0.6258899683533016,0.0023708706966789,1.0725090651622953
Ensa,0.0179945155837387,0.3175720604446414,0.0013599086683132,0.6016479993639838
Entpd4,0.0306954749682998,0.4950609287211571,0.0059373735987424,1.112363942556798
Erc1,0.0055584978694797,0.6076125847236339,0.0049128309109653,1.2872279960232536
Ercc8,0.0467590008560412,0.2833007793254695,0.0234732354190292,0.3467716509921453
Ezh1,0.001576625727434,0.3856660024660843,0.0012990310154274,0.5886424175077198
Fam168b,0.0013738178697622,0.5226895694022067,0.0006294885334693,0.9044771492626464
Fam222b,0.0433497168812034,0.3635508922584285,0.0010797749966856,0.6737425258915553
Fam53b,0.0222737166312035,0.3750808533130861,0.0370003442961366,0.8713601521265062
Fam53c,0.0383403162872075,0.3189959725914182,0.0036209943134268,1.0400435223763858
Fbxo42,0.0442124580517012,0.2953415758001022,0.0343012790243318,0.26722357593706
Fbxo45,0.0256277945272895,0.4009043927717919,0.0246868512536166,0.3492504157588097
Fbxw11,0.0007272999452534,0.5566436349191198,0.0254984736962499,0.7182684724534765
Fbxw2,0.0096530442643877,0.4125734801787889,0.006076266078658,0.4965294964966951
