sample	% Aligned	M Aligned
Yasmin_S1	89.10	10.9
Yasmin_S10	84.60	13.4
Yasmin_S11	82.60	12.2
Yasmin_S12	89.50	14
Yasmin_S13	84.80	13.7
Yasmin_S14	82.30	10.3
Yasmin_S15	85.90	15.6
Yasmin_S16	84.20	15.6
Yasmin_S17	81.80	13.5
Yasmin_S18	78.70	14.2
Yasmin_S19	85.50	17.9
Yasmin_S2	87.40	11.6
Yasmin_S20	77.70	13.8
Yasmin_S21	85.40	16.5
Yasmin_S22	89.60	19.5
Yasmin_S23	89.80	19.5
Yasmin_S24	87.70	19
Yasmin_S25	88.40	19.3
Yasmin_S26	87.00	17.8
Yasmin_S27	87.90	19.2
Yasmin_S28	87.30	19.3
Yasmin_S3	85.00	11.3
Yasmin_S4	85.80	14
Yasmin_S5	83.50	9.7
Yasmin_S6	86.20	13.6
Yasmin_S7	88.10	10.7
Yasmin_S8	86.30	14.3
Yasmin_S9	88.30	9.9
